Acct Type,Acct ID,Description,Statement,Corelytics Target Field,Upload Amount Basis,12/31/2024,01/31/2025,02/28/2025
OtherCurrentAsset,1210,Retainage Receivable,Balance Sheet,retainageReceivables,Ending balance as of date replace sample values,0,0,0
OtherCurrentAsset,1220,Contract Assets,Balance Sheet,contractAssets,Ending balance as of date replace sample values,0,0,0
OtherCurrentAsset,1300,Inventory,Balance Sheet,inventory,Ending balance as of date replace sample values,52000,53500,54800
OtherCurrentAsset,1400,Prepaid Expenses,Balance Sheet,otherCA,Ending balance as of date replace sample values,18000,16500,15000
OtherCurrentAsset,1490,Other Current Assets,Balance Sheet,otherCA,Ending balance as of date replace sample values,7500,7200,7100
FixedAsset,1500,Furniture and Fixtures,Balance Sheet,officeEquipment,Ending balance as of date replace sample values,24000,24000,24000
FixedAsset,1510,Office Equipment,Balance Sheet,officeEquipment,Ending balance as of date replace sample values,18000,18500,19000
FixedAsset,1520,Shop Equipment,Balance Sheet,shopEquipment,Ending balance as of date replace sample values,35000,35000,36000
FixedAsset,1530,Construction Equipment,Balance Sheet,constructionEquipment,Ending balance as of date replace sample values,0,0,0
FixedAsset,1540,Vehicles,Balance Sheet,fixedAssets,Ending balance as of date replace sample values,68000,68000,68000
FixedAsset,1590,Accumulated Depreciation,Balance Sheet,fixedAssets,Ending balance as of date use negative contra asset,-22000,-26500,-31000
OtherAsset,1600,Investments,Balance Sheet,investments,Ending balance as of date replace sample values,50000,50000,50000
OtherAsset,1700,Right of Use Leases Asset,Balance Sheet,rightOfUseLeases,Ending balance as of date replace sample values,0,0,0
OtherAsset,1800,Deposits and Other Assets,Balance Sheet,otherAssets,Ending balance as of date replace sample values,9000,9000,9000
AccountsPayable,2000,Accounts Payable,Balance Sheet,ap,Ending balance as of date replace sample values,31000,29000,33000
CreditCard,2010,Credit Card Payable,Balance Sheet,otherCL,Ending balance as of date replace sample values,9500,10200,9800
OtherCurrentLiability,2100,Line of Credit,Balance Sheet,loc,Ending balance as of date replace sample values,75000,72000,69000
OtherCurrentLiability,2200,Accrued Expenses,Balance Sheet,otherCL,Ending balance as of date replace sample values,18000,19000,19500
OtherCurrentLiability,2210,Payroll Liabilities,Balance Sheet,otherCL,Ending balance as of date replace sample values,12500,13100,12800
OtherCurrentLiability,2220,Sales Tax Payable,Balance Sheet,otherCL,Ending balance as of date replace sample values,4200,4600,4800
OtherCurrentLiability,2300,Contract Liabilities,Balance Sheet,contractLiabilities,Ending balance as of date replace sample values,0,0,0
LongTermLiability,2500,Term Loan,Balance Sheet,ltd,Ending balance as of date replace sample values,400000,395000,390000
LongTermLiability,2600,Long Term Lease Liability,Balance Sheet,ltd,Ending balance as of date replace sample values,0,0,0
Equity,3000,Owners Capital,Balance Sheet,ownersCapital,Ending balance as of date replace sample values,125000,125000,125000
Equity,3010,Owners Draw,Balance Sheet,ownersDraw,Ending balance as of date use positive amount for draws,12000,15000,18000
Equity,3020,Common Stock,Balance Sheet,commonStock,Ending balance as of date replace sample values,10000,10000,10000
Equity,3030,Preferred Stock,Balance Sheet,preferredStock,Ending balance as of date replace sample values,0,0,0
Equity,3040,Additional Paid In Capital,Balance Sheet,additionalPaidInCapital,Ending balance as of date replace sample values,0,0,0
Equity,3050,Treasury Stock,Balance Sheet,treasuryStock,Ending balance as of date use positive amount for treasury stock,0,0,0
Equity,3900,Retained Earnings,Balance Sheet,retainedEarnings,Ending balance as of date replace sample values,210000,218000,229000
