Data Source,Provider / System,Credential Field,Required,Client Instructions,Corelytics Notes
Applied Epic - Insurance Services,Applied Systems Applied Epic,Agency / Tenant ID,Yes,"Enter agency, tenant, database, or customer identifier used by Applied Epic.","Naming may vary by Applied setup."
Applied Epic - Insurance Services,Applied Systems Applied Epic,Application / Integration ID,Yes,"Enter the registered Corelytics application or integration ID.","Requires Applied Epic SDK/API registration."
Applied Epic - Insurance Services,Applied Systems Applied Epic,API Key,Yes,"Enter the Applied Epic API key.","Treat as sensitive. Send only through approved secure channel."
Applied Epic - Insurance Services,Applied Systems Applied Epic,API Secret,If applicable,"Enter the Applied Epic API secret if issued.","Treat as sensitive."
Applied Epic - Insurance Services,Applied Systems Applied Epic,Username / Service Account,If applicable,"Enter dedicated integration user or service account username if required by the API configuration.","Prefer least-privilege access."
Applied Epic - Insurance Services,Applied Systems Applied Epic,Password,If applicable,"Enter dedicated integration user password if required.","Treat as sensitive."
Applied Epic - Insurance Services,Applied Systems Applied Epic,Permission Scopes,Yes,"Confirm read permissions for clients, contacts, policies, transactions, renewals, claims, activities, carriers, producers, offices, departments, invoices, payments, accounting, and documents.","Users/security access may be limited."
Applied Epic - Insurance Services,Applied Systems Applied Epic,SDK / API License Confirmed,Yes,"Confirm the agency has Applied Epic SDK/API access licensed and enabled.","API access is not included with every Applied Epic subscription."
Applied Epic - Insurance Services,Applied Systems Applied Epic,Sandbox Available,Recommended,"Confirm whether a sandbox tenant is available for implementation testing.","Recommended before production connection."
Applied Epic - Insurance Services,Applied Systems Applied Epic,IP Allowlist Requirements,If applicable,"List required allowlisted IPs or instructions for network access.","Corelytics may need customer IT approval."
Applied Epic - Insurance Services,Applied Systems Applied Epic,Allowed Data Domains,Yes,"Confirm access to clients/customers, contacts, policies, policy transactions, renewals, claims, activities/tasks, carriers, producers/agents, offices, departments, invoices, payments, accounting, attachments/documents, and users/security where allowed.","Disable unavailable domains in Site Admin."
